name,address,lat,lon,coordinate_source,outdoor_seating,outdoor_seating_source,category,osm_type,osm_id,osm_name,osm_address,osm_outdoor_seating_raw,google_place_id,google_name,google_address,google_outdoor_seating,google_price_level,google_price_range,google_rating,google_user_rating_count,google_maps_uri,google_match_distance_m,google_match_name_similarity
NyhavnC,"Nyhavn 33-35, 1051 København",55.6801972,12.5902748,osm,yes,osm+google,rsestaurant,node,4018546256,NyhavnC,,yes,ChIJRwtayiJTUkYRR48GjUtGsII,NyhavnC,"Nyhavn 33-35, 1051 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4.2,1136,https://maps.google.com/?cid=9417104111134216007&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.6,1.0
Nyhavns Champagnebodega,"Lille Strandstræde 10, 1254 København",55.680729,12.589781,osm,yes,google,bar,node,8144347980,Nyhavns Champagnebodega,,,ChIJc0K4sCJTUkYRpXla9Qob8Yk,Nyhavns Champagnebodega,"Lille Strandstræde 10, 1254 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""600""}}",4.8,72,https://maps.google.com/?cid=9939755586463365541&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.2,1.0
Nyhavns Færgekro,"Nyhavn 5, 1051 København",55.6807186,12.5882868,osm,yes,osm+google,restaurant,node,1629978473,Nyhavns Færgekro,,yes,ChIJZ3jKqSJTUkYRal94ktujwK4,Nyhavns Færgekro,"Nyhavn 5, 1051 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""500""}}",4.1,1844,https://maps.google.com/?cid=12592244721578434410&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.8,1.0
Nyhavnskroen,"Nyhavn 47, 1051 København",55.6799215,12.5913418,osm,yes,osm+google,restaurant,node,3762408693,Nyhavnskroen,,yes,ChIJPz4p0yJTUkYRWmWw0ZfGiXw,Nyhavnskroen,"Nyhavn 47, 1051 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""600""}}",4.2,686,https://maps.google.com/?cid=8973922087872783706&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.5,1.0
Nyu Sakura,"H. C. Ørsteds Vej 68, 1879 Frederiksberg",55.6841005,12.5514227,osm,yes,google,restaurant,node,281544394,Nyu Sakura,,,ChIJ3_UUgqhTUkYRnHfh_wQPJwI,Nyu Sakura,"H. C. Ørsteds Vej 68, 1879 Frederiksberg",True,PRICE_LEVEL_INEXPENSIVE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4.1,583,https://maps.google.com/?cid=155109226314823580&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8.9,1.0
Nærvær,"Strandgade 87 E, 1401 København",55.6771212,12.5964137,osm,yes,osm+google,restaurant,node,4897543568,Nærvær,,yes,ChIJp7LdcTtTUkYRuX_CcvxfGiU,Nærvær,"Strandgade 87 E, 1401 København",True,PRICE_LEVEL_EXPENSIVE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""800""}}",4,603,https://maps.google.com/?cid=2673554866659557305&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.9,1.0
Nón Lá Coffee,"Enghavevej 16A, 1674 København",55.6699974,12.5458976,osm,yes,osm+google,bar,node,8130361809,The House of Machines Copenhagen,,yes,ChIJezWPXMBTUkYR84TDPD0kxzc,Nón Lá Coffee,"Enghavevej 16A, 1674 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",4.8,251,https://maps.google.com/?cid=4019221037882508531&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,20.6,0.318
Nón Lá Coffee,"Enghavevej 16A, 1674 København",55.6700636,12.5455427,osm,yes,google,cafe,node,9516748651,Nón Lá Coffee,,,ChIJezWPXMBTUkYR84TDPD0kxzc,Nón Lá Coffee,"Enghavevej 16A, 1674 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",4.8,251,https://maps.google.com/?cid=4019221037882508531&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.9,1.0
Nørreport Bodega,"Nørre Voldgade 70, 1358 København",55.682421,12.571505,osm,yes,google,bar,node,1591124412,Nørreport Bodega,,,ChIJKdX_UAVTUkYRLchhotPqkiI,Nørreport Bodega,"Nørre Voldgade 70, 1358 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}}",4.1,543,https://maps.google.com/?cid=2491311738572621869&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,7.3,1.0
OHO autentisk thaimad,"Nordre Frihavnsgade 23, 2100 København",55.7011678,12.5801946,osm,yes,google,restaurant,node,3997565318,OHO Thai Food,,no,ChIJGdL9kFpTUkYRzgJyc7R6xCc,OHO autentisk thaimad,"Nordre Frihavnsgade 23, 2100 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}}",4.6,209,https://maps.google.com/?cid=2865550178364031694&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.0,0.529
